,mzmin,mzmax,mzmed,rtmin,rtmax,rtmed,area
625,172.0681,172.0685,172.0683,307.279,312.87,309.497,3921.845277000006
626,172.0717,172.0757,172.0755,597.936,628.499,597.936,36574.87727169998
627,172.1113,172.1134,172.1134,181.352,196.711,192.559,16032.186374950008
628,172.1459,172.1461,172.1459,267.789,306.176,276.511,35194.546792
629,172.9763,172.9769,172.9769,137.407,148.343,148.343,40148.263605649896
630,172.9881,172.9896,172.9892,219.979,238.054,238.054,14295.832559999992
631,172.9943,172.9953,172.9948,729.498,750.668,750.668,20374.35131344997
632,173.0413,173.0418,173.0418,1252.18,1266.6,1265.58,18649.638829999825
633,173.0569,173.0573,173.0571,130.124,135.592,131.029,18510.60376930006
634,173.0592,173.06,173.0596,837.637,862.632,841.754,30604.20128950001
635,173.0646,173.066,173.0655,1667.53,1684.08,1672.69,15466.644288999963
636,173.0704,173.0707,173.0707,722.231,733.739,725.388,19973.11709155007
637,173.0829,173.0878,173.0866,520.789,541.206,533.125,32793.10626275002
638,173.0956,173.096,173.0959,309.497,328.514,311.762,17005.242805499995
639,173.1004,173.1007,173.1004,290.594,293.871,291.705,3268.426886399986
640,173.153,173.1533,173.1533,345.994,355.775,345.994,10907.43493969994
641,173.1721,173.1729,173.1721,941.502,962.204,941.502,25049.55639050002
642,174.0206,174.0217,174.0217,462.921,490.029,473.012,32124.627483150005
643,174.0362,174.0396,174.0395,171.379,209.399,202.013,554878.5851489501
644,174.0547,174.0549,174.0549,243.152,268.865,243.152,27596.53977975003
645,174.061,174.0632,174.0627,809.876,817.218,815.128,7764.399235449991
646,174.0886,174.0915,174.0908,572.059,597.936,572.059,31380.970221000105
647,174.0948,174.0953,174.0949,969.396,1000.07,997.16,53211.34247125026
648,174.1401,174.1405,174.1405,631.704,641.366,641.366,9385.703043300025
649,174.1849,174.1852,174.1852,1078.14,1085.11,1082.15,20507.980983999558
650,174.9278,174.928,174.9279,1841.38,1854.12,1841.38,12537.631568499803
651,174.9847,174.9852,174.9852,212.581,233.881,231.763,20632.305179500006
652,175.0339,175.0342,175.0339,488.952,511.471,495.404,26856.673714450008
653,175.0335,175.0344,175.0341,510.419,532.136,513.561,29368.432447349973
654,175.0669,175.0695,175.0669,262.406,291.705,262.406,21187.53636429998
655,175.1072,175.1077,175.1075,466.985,490.029,480.706,33273.88386995
656,176.1149,176.1152,176.1151,967.352,970.389,969.396,6415.471578000046
657,176.5533,176.5539,176.5539,1032.14,1039.28,1032.14,7969.770351999863
658,176.974,176.975,176.974,807.807,834.537,814.105,22859.719633250017
659,176.9826,176.9839,176.983,848.048,882.984,869.669,39173.406232500056
660,177.0423,177.043,177.0426,150.202,161.564,156.796,40136.46290984999
661,177.0503,177.0522,177.052,949.686,972.424,970.389,37722.82822729991
662,177.0822,177.0827,177.0826,122.872,143.738,122.872,89959.11663209999
663,178.0493,178.05,178.0495,306.176,327.452,307.279,16370.63258460001
664,178.0518,178.0522,178.052,144.645,147.421,147.421,12684.463239599925
665,178.056,178.0583,178.0567,799.392,833.477,826.405,65059.91194069979
666,178.0851,178.0864,178.086,225.339,233.881,227.496,9985.2692919
667,178.0993,178.0999,178.0996,135.592,147.421,141.019,59850.20202129997
668,178.1069,178.108,178.1076,199.879,233.881,205.24,30697.95634370001
669,178.1156,178.1163,178.1163,325.217,340.529,340.529,11262.563919200005
670,178.1337,178.1342,178.1337,1798.01,1810.66,1808.55,9490.20299700008
671,178.152,178.1524,178.1524,1185.14,1190.04,1185.14,8832.996718999595
672,178.9799,178.9841,178.9841,1679.93,1690.19,1687.1,9833.849368500003
673,179.0125,179.013,179.0127,292.787,306.176,293.871,11369.470451800013
674,179.0337,179.0342,179.034,232.792,239.068,239.068,5641.161573600011
675,179.0781,179.0787,179.0787,2023.87,2038.03,2037.05,16047.139967500112
676,179.0909,179.092,179.091,825.442,860.559,825.442,41448.890872849974
677,179.1118,179.1122,179.1121,506.215,526.001,526.001,90452.2296567998
678,179.127,179.1279,179.1277,258.047,285.195,267.789,25771.82140954997
